nodes;node1;node2;node3;node4;node5;node6;node7
node ids;1;2;3;4;5;6;7
received DATA packets;14;14;12;13;13;13;13
from sent DATA packets;14;14;13;13;13;13;13
received DATA packets before start;14;14;12;13;13;13;13
received DATA packets after start;0;0;0;0;0;0;0
received requested DATA packets after join;0;0;0;0;0;0;0
from sent DATA packets after join;0;0;0;0;0;0;0
destroyed packets;534;571;590;736;364;372;352
sent packets;813;845;741;128;80;40;35
successfully received packets;1063;1169;1264;1523;1321;1356;1224
total received packets;1723;1846;1950;2554;1789;1829;1834
