nodes;node1;node2;node3;node4;node5;node6;node7;node8
node ids;1;2;3;4;5;6;7;8
received DATA packets;49;47;46;47;50;46;46;47
from sent DATA packets;50;48;48;48;50;48;48;48
received DATA packets before start;49;47;46;47;50;46;46;47
received DATA packets after start;0;0;0;0;0;0;0;0
received requested DATA packets after join;0;0;0;0;0;0;0;0
from sent DATA packets after join;0;0;0;0;0;0;0;0
destroyed packets;3;3;5;4;3;4;3;5
sent packets;202;57;55;56;199;56;57;55
successfully received packets;173;128;308;215;171;217;127;302
total received packets;177;133;315;224;177;222;132;312
